legacy case ID,legacy event type,legacy section,original semantic purpose,current canonical TaleSessionEvent type,current canonical event payload,current canonical Player surface,current SceneHost or presentation owner,canonical presentation scene,presentation required,acknowledgment policy,replay policy,canonical browser test,canonical service/unit test,compatibility disposition,final status,evidence commit,notes
P3-CASE-071,ARTIFACT_AWARDED,log,artifact awarded behavior,artifactGranted,asset identity; inventory projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group C: artifact and collection progression,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-072,ARTIFACT_SILHOUETTE_REVEALED,log,artifact silhouette revealed behavior,hintReleased,artifact projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group C: artifact and collection progression,src/chronicle/progression.test.ts,state-only-canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-073,ARTIFACT_CONNECTED,log,artifact connected behavior,hintReleased,artifact projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group C: artifact and collection progression,src/chronicle/progression.test.ts,state-only-canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-074,MAP_LOCATION_REVEALED,log,map location revealed behavior,hintReleased,journal projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group D: map and route progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-075,MAP_ROUTE_REVEALED,log,map route revealed behavior,hintReleased,journal projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group D: map and route progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-076,SIDE_QUEST_DISCOVERED,log,side quest discovered behavior,hintReleased,journal projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group E: objective and quest progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-077,SIDE_QUEST_UPDATED,log,side quest updated behavior,hintReleased,journal projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group E: objective and quest progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-078,SIDE_QUEST_COMPLETED,log,side quest completed behavior,hintReleased,journal projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group E: objective and quest progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-079,JOURNAL_ANNOTATION_ADDED,log,journal annotation added behavior,hintReleased,readable journal projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group B: hints and readable information,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-080,PLAYER_LOG_ENTRY_ADDED,log,player log entry added behavior,hintReleased,readable journal projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group B: hints and readable information,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-081,FINALE_TEASED,log,finale teased behavior,hintReleased,finale readable projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group F: finale progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-082,FINALE_REQUIREMENT_UPDATED,log,finale requirement updated behavior,hintReleased,finale readable projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group F: finale progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-083,CAMPAIGN_PAUSED,log,campaign paused behavior,sessionPaused,reason; current block,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group G: session control,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-084,CAMPAIGN_RESUMED,log,campaign resumed behavior,sessionResumed,reason; current block,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group G: session control,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-085,STATE_REVERTED,log,state reverted behavior,captainRollback,from block; target block; reason,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group G: session control,src/chronicle/progression.test.ts,state-only-canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-086,CHAPTER_RELEASED,finale,chapter released behavior,blockEntered,block enter; snapshot projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group A: chapter and block progression,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-087,CHAPTER_SOLVED,finale,chapter solved behavior,blockCompleted,block completion; snapshot projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group A: chapter and block progression,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-088,ARTIFACT_AWARDED,finale,artifact awarded behavior,artifactGranted,asset identity; inventory projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group C: artifact and collection progression,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-089,ARTIFACT_SILHOUETTE_REVEALED,finale,artifact silhouette revealed behavior,hintReleased,artifact projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group C: artifact and collection progression,src/chronicle/progression.test.ts,state-only-canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-090,ARTIFACT_CONNECTED,finale,artifact connected behavior,hintReleased,artifact projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group C: artifact and collection progression,src/chronicle/progression.test.ts,state-only-canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-091,MAP_LOCATION_REVEALED,finale,map location revealed behavior,hintReleased,journal projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group D: map and route progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-092,MAP_ROUTE_REVEALED,finale,map route revealed behavior,hintReleased,journal projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group D: map and route progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-093,SIDE_QUEST_DISCOVERED,finale,side quest discovered behavior,hintReleased,journal projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group E: objective and quest progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-094,SIDE_QUEST_UPDATED,finale,side quest updated behavior,hintReleased,journal projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group E: objective and quest progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-095,SIDE_QUEST_COMPLETED,finale,side quest completed behavior,hintReleased,journal projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group E: objective and quest progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-096,JOURNAL_ANNOTATION_ADDED,finale,journal annotation added behavior,hintReleased,readable journal projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group B: hints and readable information,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-097,PLAYER_LOG_ENTRY_ADDED,finale,player log entry added behavior,hintReleased,readable journal projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group B: hints and readable information,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-098,FINALE_TEASED,finale,finale teased behavior,hintReleased,finale readable projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group F: finale progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-099,FINALE_REQUIREMENT_UPDATED,finale,finale requirement updated behavior,hintReleased,finale readable projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group F: finale progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-100,CAMPAIGN_PAUSED,finale,campaign paused behavior,sessionPaused,reason; current block,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group G: session control,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-101,CAMPAIGN_RESUMED,finale,campaign resumed behavior,sessionResumed,reason; current block,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group G: session control,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-102,STATE_REVERTED,finale,state reverted behavior,captainRollback,from block; target block; reason,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group G: session control,src/chronicle/progression.test.ts,state-only-canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
