Requirement ID,Source,Surface,Animation name,User moment,Authoritative trigger,Current implementation,Correct runtime,Supporting runtime,SceneHost or local host,Required targets,Optional targets,Full behavior,Gentle behavior,Reduced behavior,Replay policy,One-shot key,Failure fallback,Focus behavior,Live-region behavior,Sound label,Duration budget,Performance budget,Implementation status,Source files,Test IDs,Visual checkpoints,Implemented commit,Validation status
MX-049,MX,Waiting room,Captain launch,"Connect authority to the physical journal. Latch wakes only after launch state arrives, then route transition begins. Sound: brass-latch. Duration: 700-1200 ms.",Authoritative launch response/poll,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,GSAP with Rive,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,"Latch wakes only after launch state arrives, then route transition begins (700-1200 ms)",Shorter travel and fewer secondary layers,Immediate launched pose and route,Once per launch event; no automatic replay,launch: lanternwake:phase4:waiting-launch:<voyage-id>:<status:last-synchronized-at>,Navigate after state confirmation,Immediate launched pose and route; never delay focus or state announcement,Immediate launched pose and route; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; layout 420/260/0 ms; ceremony 1100/700/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/platform/PlayerVoyageRoom.tsx; src/animation/platform/polling-delta.ts; src/styles/platform.css,Development_Docs/Animation_System_Test_Plan.md; src/components/platform/PlayerVoyageRoom.test.tsx; src/animation/platform/polling-delta.test.ts,closed journal; crew arrival; ready; polling; scheduled; launch-ready; latch release; route handoff; reconnect; revoked,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-050,MX,Waiting room,Access revoked or reconnect,Keep terminal and recoverable network states distinct. Revoked state closes controls; reconnect state keeps them and shows progress. Sound: pause-wind-down. Duration: 220-420 ms.,403/revoked or network recovery,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,Revoked state closes controls; reconnect state keeps them and shows progress (220-420 ms),Shorter travel and fewer secondary layers,Immediate state panel,Every transition,launch: lanternwake:phase4:waiting-launch:<voyage-id>:<status:last-synchronized-at>,Static status panel,Immediate state panel; never delay focus or state announcement,Immediate state panel; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; layout 420/260/0 ms; ceremony 1100/700/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/platform/PlayerVoyageRoom.tsx; src/animation/platform/polling-delta.ts; src/styles/platform.css,Development_Docs/Animation_System_Test_Plan.md; src/components/platform/PlayerVoyageRoom.test.tsx; src/animation/platform/polling-delta.test.ts,closed journal; crew arrival; ready; polling; scheduled; launch-ready; latch release; route handoff; reconnect; revoked,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-099,MX,Quartermaster,Confirmation dialog,Keep high-impact commands explicit. Motion owns dialog presence; selected command object remains static behind it. Sound: None. Duration: 180-300 ms.,Command selection,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,Motion owns dialog presence; selected command object remains static behind it (180-300 ms),Shorter travel and fewer secondary layers,Immediate dialog and focus trap,Every selection,invocation-local command identity and authoritative receipt; commands are never replayed,Static dialog,Immediate dialog and focus trap; never delay focus or state announcement,Immediate dialog and focus trap; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; ceremony 1100/700/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/gm/Quartermaster.tsx; src/styles/gm.css; src/server/admin-command.ts,Development_Docs/Animation_System_Test_Plan.md; src/components/gm/Quartermaster.test.tsx; src/server/admin-command.test.ts,confirmation; preflight; pending; failure reversal; success receipt; dashboard reconciliation; undo preview; conflict,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-100,MX,Quartermaster,Prepare chapter,Show pending and success truthfully. Dedicated overlay page moves blankâ†’ready only after server success. Sound: paper-flutter. Duration: 700-1200 ms.,PREPARE_CHAPTER operation,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,GSAP with CSS,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,Dedicated overlay page moves blankâ†’ready only after server success (700-1200 ms),Shorter travel and fewer secondary layers,Immediate READY result,Every command attempt,invocation-local command identity and authoritative receipt; commands are never replayed,Static result status,Immediate READY result; never delay focus or state announcement,Immediate READY result; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; ceremony 1100/700/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/gm/Quartermaster.tsx; src/styles/gm.css; src/server/admin-command.ts,Development_Docs/Animation_System_Test_Plan.md; src/components/gm/Quartermaster.test.tsx; src/server/admin-command.test.ts,confirmation; preflight; pending; failure reversal; success receipt; dashboard reconciliation; undo preview; conflict,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-101,MX,Quartermaster,Release command,Separate Captain authorization from Player ceremony. Captain seal confirms command; Player global host owns later release presentation. Sound: wax-crack. Duration: 700-1100 ms.,RELEASE_CHAPTER operation,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,GSAP,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,Captain seal confirms command; Player global host owns later release presentation (700-1100 ms),Shorter travel and fewer secondary layers,Immediate command result,Every valid attempt,invocation-local command identity and authoritative receipt; commands are never replayed,Static event receipt,Immediate command result; never delay focus or state announcement,Immediate command result; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; ceremony 1100/700/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/gm/Quartermaster.tsx; src/styles/gm.css; src/server/admin-command.ts,Development_Docs/Animation_System_Test_Plan.md; src/components/gm/Quartermaster.test.tsx; src/server/admin-command.test.ts,confirmation; preflight; pending; failure reversal; success receipt; dashboard reconciliation; undo preview; conflict,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-102,MX,Quartermaster,Command failure reversal,"Make failed operations understandable. Overlay returns to pre-command pose, error remains visible, and no success state flashes. Sound: undo-reverse. Duration: 450-800 ms.",Rejected command operation,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,GSAP with Motion,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,"Overlay returns to pre-command pose, error remains visible, and no success state flashes (450-800 ms)",Shorter travel and fewer secondary layers,Immediate error and restored controls,Every failure,invocation-local command identity and authoritative receipt; commands are never replayed,Static error,Immediate error and restored controls; never delay focus or state announcement,Immediate error and restored controls; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; ceremony 1100/700/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/gm/Quartermaster.tsx; src/styles/gm.css; src/server/admin-command.ts,Development_Docs/Animation_System_Test_Plan.md; src/components/gm/Quartermaster.test.tsx; src/server/admin-command.test.ts,confirmation; preflight; pending; failure reversal; success receipt; dashboard reconciliation; undo preview; conflict,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-103,MX,Quartermaster,Command success reconciliation,Tie animation to persisted event receipt. Success label displays event ID/sequence before overlay settles. Sound: stamp-impact. Duration: 450-800 ms.,Successful command response,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,GSAP with Motion,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,Success label displays event ID/sequence before overlay settles (450-800 ms),Shorter travel and fewer secondary layers,Immediate receipt text,Every success,invocation-local command identity and authoritative receipt; commands are never replayed,Static receipt,Immediate receipt text; never delay focus or state announcement,Immediate receipt text; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; ceremony 1100/700/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/gm/Quartermaster.tsx; src/styles/gm.css; src/server/admin-command.ts,Development_Docs/Animation_System_Test_Plan.md; src/components/gm/Quartermaster.test.tsx; src/server/admin-command.test.ts,confirmation; preflight; pending; failure reversal; success receipt; dashboard reconciliation; undo preview; conflict,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-104,MX,Quartermaster,Recent event insertion,Expose authoritative order. Motion list layout inserts the new receipt without GSAP touching the same li. Sound: None. Duration: 180-320 ms.,Status refresh includes new event,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,Motion list layout inserts the new receipt without GSAP touching the same li (180-320 ms),Shorter travel and fewer secondary layers,Immediate list,Every insertion,invocation-local command identity and authoritative receipt; commands are never replayed,Static list,Immediate list; never delay focus or state announcement,Immediate list; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; ceremony 1100/700/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/gm/Quartermaster.tsx; src/styles/gm.css; src/server/admin-command.ts,Development_Docs/Animation_System_Test_Plan.md; src/components/gm/Quartermaster.test.tsx; src/server/admin-command.test.ts,confirmation; preflight; pending; failure reversal; success receipt; dashboard reconciliation; undo preview; conflict,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-105,MX,Quartermaster,Status gauges and lamps,Make connection/campaign state quickly readable. CSS/Motion interpolate visual gauge; text and numbers remain authoritative. Sound: None. Duration: 180-360 ms.,Status polling changes values,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion with CSS,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,CSS/Motion interpolate visual gauge; text and numbers remain authoritative (180-360 ms),Shorter travel and fewer secondary layers,Immediate values,Every state change,invocation-local command identity and authoritative receipt; commands are never replayed,Static gauges,Immediate values; never delay focus or state announcement,Immediate values; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; ceremony 1100/700/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/gm/Quartermaster.tsx; src/styles/gm.css; src/server/admin-command.ts,Development_Docs/Animation_System_Test_Plan.md; src/components/gm/Quartermaster.test.tsx; src/server/admin-command.test.ts,confirmation; preflight; pending; failure reversal; success receipt; dashboard reconciliation; undo preview; conflict,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-106,MX,Quartermaster,Undo preview,Clarify the exact state that will be restored. Confirmation shows previous event and a short reverse preview on a contained overlay. Sound: undo-reverse. Duration: 600-1000 ms.,UNDO_LAST selection,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,GSAP with Motion,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,Confirmation shows previous event and a short reverse preview on a contained overlay (600-1000 ms),Shorter travel and fewer secondary layers,Static before/after summary,Every selection; preview only,invocation-local command identity and authoritative receipt; commands are never replayed,Text diff,Static before/after summary; never delay focus or state announcement,Static before/after summary; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; ceremony 1100/700/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/gm/Quartermaster.tsx; src/styles/gm.css; src/server/admin-command.ts,Development_Docs/Animation_System_Test_Plan.md; src/components/gm/Quartermaster.test.tsx; src/server/admin-command.test.ts,confirmation; preflight; pending; failure reversal; success receipt; dashboard reconciliation; undo preview; conflict,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-107,MX,Studio authoring,Library card entrance and filter,Make draft/published group changes legible. Motion layout handles cards and filters without cinematic timing. Sound: None. Duration: 180-360 ms.,Studio data/filter change,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,Motion layout handles cards and filters without cinematic timing (180-360 ms),Shorter travel and fewer secondary layers,Immediate list,Every update,operation-local publish/version receipt; dnd-kit remains sole drag transform owner,Static list,Immediate list; never delay focus or state announcement,Immediate list; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; layout 420/260/0 ms; ceremony 1100/700/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/studio/StudioHome.tsx; src/components/studio/NewTaleForm.tsx; src/components/studio/TaleEditor.tsx; src/animation/director/scene-registry.ts; src/styles/studio.css,Development_Docs/Animation_System_Test_Plan.md; src/components/studio/TaleEditor.test.tsx; src/animation/director/scene-registry.test.ts; src/animation/scenes/scene-builders.test.ts; tests/e2e/lanternwake-phase4.spec.ts; tests/e2e/tall-tale-studio.spec.ts,library; editor section; drag placeholder; drag overlay; drop settle; validation; autosave; preview; publish; version; upload; comparison; immutable lock,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-108,MX,Studio authoring,Editor section transition,Maintain context across story/settings/assets/locations/artifacts/versions. Active rail moves and section panel uses presence. Sound: None. Duration: 180-300 ms.,Editor section selection,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,Active rail moves and section panel uses presence (180-300 ms),Shorter travel and fewer secondary layers,Immediate section,Every selection,operation-local publish/version receipt; dnd-kit remains sole drag transform owner,Static tabs,Immediate section; never delay focus or state announcement,Immediate section; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; layout 420/260/0 ms; ceremony 1100/700/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/studio/StudioHome.tsx; src/components/studio/NewTaleForm.tsx; src/components/studio/TaleEditor.tsx; src/animation/director/scene-registry.ts; src/styles/studio.css,Development_Docs/Animation_System_Test_Plan.md; src/components/studio/TaleEditor.test.tsx; src/animation/director/scene-registry.test.ts; src/animation/scenes/scene-builders.test.ts; tests/e2e/lanternwake-phase4.spec.ts; tests/e2e/tall-tale-studio.spec.ts,library; editor section; drag placeholder; drag overlay; drop settle; validation; autosave; preview; publish; version; upload; comparison; immutable lock,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-109,MX,Studio authoring,Block insertion,Show where new content entered. New block expands at its final position and receives focus. Sound: quill-scratch. Duration: 180-320 ms.,Successful block creation,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion with dnd-kit,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,New block expands at its final position and receives focus (180-320 ms),Shorter travel and fewer secondary layers,Immediate block and focus,Every insertion,operation-local publish/version receipt; dnd-kit remains sole drag transform owner,Static insertion,Immediate block and focus; never delay focus or state announcement,Immediate block and focus; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; layout 420/260/0 ms; ceremony 1100/700/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/studio/StudioHome.tsx; src/components/studio/NewTaleForm.tsx; src/components/studio/TaleEditor.tsx; src/animation/director/scene-registry.ts; src/styles/studio.css,Development_Docs/Animation_System_Test_Plan.md; src/components/studio/TaleEditor.test.tsx; src/animation/director/scene-registry.test.ts; src/animation/scenes/scene-builders.test.ts; tests/e2e/lanternwake-phase4.spec.ts; tests/e2e/tall-tale-studio.spec.ts,library; editor section; drag placeholder; drag overlay; drop settle; validation; autosave; preview; publish; version; upload; comparison; immutable lock,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-110,MX,Studio authoring,Block deletion,Make destructive changes reversible. Block collapses after confirmation; undo notice remains outside the list. Sound: None. Duration: 180-300 ms.,Successful deletion,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,Block collapses after confirmation; undo notice remains outside the list (180-300 ms),Shorter travel and fewer secondary layers,Immediate removal and undo,Every deletion,operation-local publish/version receipt; dnd-kit remains sole drag transform owner,Static removal,Immediate removal and undo; never delay focus or state announcement,Immediate removal and undo; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; layout 420/260/0 ms; ceremony 1100/700/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/studio/StudioHome.tsx; src/components/studio/NewTaleForm.tsx; src/components/studio/TaleEditor.tsx; src/animation/director/scene-registry.ts; src/styles/studio.css,Development_Docs/Animation_System_Test_Plan.md; src/components/studio/TaleEditor.test.tsx; src/animation/director/scene-registry.test.ts; src/animation/scenes/scene-builders.test.ts; tests/e2e/lanternwake-phase4.spec.ts; tests/e2e/tall-tale-studio.spec.ts,library; editor section; drag placeholder; drag overlay; drop settle; validation; autosave; preview; publish; version; upload; comparison; immutable lock,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-111,MX,Studio authoring,Block reorder settle,Keep drag result clear. dnd-kit owns drag transform; Motion may animate only a separate post-drop wrapper. Sound: None. Duration: 160-280 ms.,Drag end and persisted reorder,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,dnd-kit with Motion,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,dnd-kit owns drag transform; Motion may animate only a separate post-drop wrapper (160-280 ms),Shorter travel and fewer secondary layers,Immediate final order,Every reorder,operation-local publish/version receipt; dnd-kit remains sole drag transform owner,Static order,Immediate final order; never delay focus or state announcement,Immediate final order; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; layout 420/260/0 ms; ceremony 1100/700/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/studio/StudioHome.tsx; src/components/studio/NewTaleForm.tsx; src/components/studio/TaleEditor.tsx; src/animation/director/scene-registry.ts; src/styles/studio.css,Development_Docs/Animation_System_Test_Plan.md; src/components/studio/TaleEditor.test.tsx; src/animation/director/scene-registry.test.ts; src/animation/scenes/scene-builders.test.ts; tests/e2e/lanternwake-phase4.spec.ts; tests/e2e/tall-tale-studio.spec.ts,library; editor section; drag placeholder; drag overlay; drop settle; validation; autosave; preview; publish; version; upload; comparison; immutable lock,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-112,MX,Studio authoring,Inspector open/close,Keep editing context while revealing controls. Motion owns drawer presence; CSS retains parchment/material styling. Sound: None. Duration: 180-320 ms.,Inspector toggle,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion with CSS,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,Motion owns drawer presence; CSS retains parchment/material styling (180-320 ms),Shorter travel and fewer secondary layers,Immediate drawer,Every toggle,operation-local publish/version receipt; dnd-kit remains sole drag transform owner,Static panel,Immediate drawer; never delay focus or state announcement,Immediate drawer; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; layout 420/260/0 ms; ceremony 1100/700/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/studio/StudioHome.tsx; src/components/studio/NewTaleForm.tsx; src/components/studio/TaleEditor.tsx; src/animation/director/scene-registry.ts; src/styles/studio.css,Development_Docs/Animation_System_Test_Plan.md; src/components/studio/TaleEditor.test.tsx; src/animation/director/scene-registry.test.ts; src/animation/scenes/scene-builders.test.ts; tests/e2e/lanternwake-phase4.spec.ts; tests/e2e/tall-tale-studio.spec.ts,library; editor section; drag placeholder; drag overlay; drop settle; validation; autosave; preview; publish; version; upload; comparison; immutable lock,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-113,MX,Studio authoring,Validation result navigation,Lead creators to exact problems. Summary items expand and focus the corresponding field/block. Sound: None. Duration: 180-320 ms.,Validation completes,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,Summary items expand and focus the corresponding field/block (180-320 ms),Shorter travel and fewer secondary layers,Immediate summary and focus,Every validation,operation-local publish/version receipt; dnd-kit remains sole drag transform owner,Static error list,Immediate summary and focus; never delay focus or state announcement,Immediate summary and focus; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; layout 420/260/0 ms; ceremony 1100/700/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/studio/StudioHome.tsx; src/components/studio/NewTaleForm.tsx; src/components/studio/TaleEditor.tsx; src/animation/director/scene-registry.ts; src/styles/studio.css,Development_Docs/Animation_System_Test_Plan.md; src/components/studio/TaleEditor.test.tsx; src/animation/director/scene-registry.test.ts; src/animation/scenes/scene-builders.test.ts; tests/e2e/lanternwake-phase4.spec.ts; tests/e2e/tall-tale-studio.spec.ts,library; editor section; drag placeholder; drag overlay; drop settle; validation; autosave; preview; publish; version; upload; comparison; immutable lock,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-114,MX,Studio authoring,Autosave state,Communicate pending/saved/error without distraction. Stable status chip transitions text/icon in place. Sound: None. Duration: 120-220 ms.,Autosave lifecycle,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,Stable status chip transitions text/icon in place (120-220 ms),Shorter travel and fewer secondary layers,Immediate text,Every state change,operation-local publish/version receipt; dnd-kit remains sole drag transform owner,Static status,Immediate text; never delay focus or state announcement,Immediate text; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; layout 420/260/0 ms; ceremony 1100/700/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/studio/StudioHome.tsx; src/components/studio/NewTaleForm.tsx; src/components/studio/TaleEditor.tsx; src/animation/director/scene-registry.ts; src/styles/studio.css,Development_Docs/Animation_System_Test_Plan.md; src/components/studio/TaleEditor.test.tsx; src/animation/director/scene-registry.test.ts; src/animation/scenes/scene-builders.test.ts; tests/e2e/lanternwake-phase4.spec.ts; tests/e2e/tall-tale-studio.spec.ts,library; editor section; drag placeholder; drag overlay; drop settle; validation; autosave; preview; publish; version; upload; comparison; immutable lock,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-115,MX,Studio authoring,Publish/version creation,"Make immutable state transitions explicit. Review locks, request resolves, and immutable version badge seats after server success. Sound: stamp-impact. Duration: 500-900 ms.",Successful publish/version operation,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion with GSAP,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,"Review locks, request resolves, and immutable version badge seats after server success (500-900 ms)",Shorter travel and fewer secondary layers,Immediate immutable badge,Once per operation,operation-local publish/version receipt; dnd-kit remains sole drag transform owner,Static result,Immediate immutable badge; never delay focus or state announcement,Immediate immutable badge; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; layout 420/260/0 ms; ceremony 1100/700/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/studio/StudioHome.tsx; src/components/studio/NewTaleForm.tsx; src/components/studio/TaleEditor.tsx; src/animation/director/scene-registry.ts; src/styles/studio.css,Development_Docs/Animation_System_Test_Plan.md; src/components/studio/TaleEditor.test.tsx; src/animation/director/scene-registry.test.ts; src/animation/scenes/scene-builders.test.ts; tests/e2e/lanternwake-phase4.spec.ts; tests/e2e/tall-tale-studio.spec.ts,library; editor section; drag placeholder; drag overlay; drop settle; validation; autosave; preview; publish; version; upload; comparison; immutable lock,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-116,MX,Studio authoring,Asset upload,"Show per-file progress and failure. Each upload row owns progress, preview reveal, retry, and removal transitions. Sound: None. Duration: Per upload.",Upload lifecycle,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,"Each upload row owns progress, preview reveal, retry, and removal transitions (Per upload)",Shorter travel and fewer secondary layers,Immediate progress text,Every upload,operation-local publish/version receipt; dnd-kit remains sole drag transform owner,Static progress rows,Immediate progress text; never delay focus or state announcement,Immediate progress text; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; layout 420/260/0 ms; ceremony 1100/700/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/studio/StudioHome.tsx; src/components/studio/NewTaleForm.tsx; src/components/studio/TaleEditor.tsx; src/animation/director/scene-registry.ts; src/styles/studio.css,Development_Docs/Animation_System_Test_Plan.md; src/components/studio/TaleEditor.test.tsx; src/animation/director/scene-registry.test.ts; src/animation/scenes/scene-builders.test.ts; tests/e2e/lanternwake-phase4.spec.ts; tests/e2e/tall-tale-studio.spec.ts,library; editor section; drag placeholder; drag overlay; drop settle; validation; autosave; preview; publish; version; upload; comparison; immutable lock,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-117,MX,Loading/error/success states,Global skeleton-to-content handoff,Prevent page flashes across platform screens. Content crossfades from shape-stable skeletons. Sound: None. Duration: 180-300 ms.,Initial data resolves,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion with CSS,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,Content crossfades from shape-stable skeletons (180-300 ms),Shorter travel and fewer secondary layers,Immediate content,Every data load,request identity gates committed success; stale responses cannot present,Static skeleton/content,Immediate content; never delay focus or state announcement,Immediate content; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/ui/AsyncState.tsx; src/animation/platform/useAuthoritativeAsyncState.ts; src/styles/platform.css,Development_Docs/Animation_System_Test_Plan.md; src/components/ui/AsyncState.test.tsx; src/components/platform/PlayerSignIn.test.tsx; tests/e2e/lanternwake-phase4.spec.ts,idle; pending; slow; recoverable error; terminal error; cancelled; authoritative success,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-118,MX,Loading/error/success states,Inline mutation pending,"Prevent duplicate actions. Control holds width, shows pending label, and keeps nearby content stable. Sound: None. Duration: Until response.",Mutation request pending,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,"Control holds width, shows pending label, and keeps nearby content stable (Until response)",Shorter travel and fewer secondary layers,Static pending label,Every request,request identity gates committed success; stale responses cannot present,Disabled control,Static pending label; never delay focus or state announcement,Static pending label; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/ui/AsyncState.tsx; src/animation/platform/useAuthoritativeAsyncState.ts; src/styles/platform.css,Development_Docs/Animation_System_Test_Plan.md; src/components/ui/AsyncState.test.tsx; src/components/platform/PlayerSignIn.test.tsx; tests/e2e/lanternwake-phase4.spec.ts,idle; pending; slow; recoverable error; terminal error; cancelled; authoritative success,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-119,MX,Loading/error/success states,Recoverable request error,Keep recovery action adjacent to failure. Error banner enters without shifting focus unexpectedly. Sound: None. Duration: 160-280 ms.,Recoverable fetch failure,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,Error banner enters without shifting focus unexpectedly (160-280 ms),Shorter travel and fewer secondary layers,Immediate alert,Every failure,request identity gates committed success; stale responses cannot present,Static alert,Immediate alert; never delay focus or state announcement,Immediate alert; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/ui/AsyncState.tsx; src/animation/platform/useAuthoritativeAsyncState.ts; src/styles/platform.css,Development_Docs/Animation_System_Test_Plan.md; src/components/ui/AsyncState.test.tsx; src/components/platform/PlayerSignIn.test.tsx; tests/e2e/lanternwake-phase4.spec.ts,idle; pending; slow; recoverable error; terminal error; cancelled; authoritative success,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
