"historical_case_id","source_file","source_line","title","project","protected_contract","historical_architecture_dependency","current_relevance","classification","canonical_replacement_suite","canonical_replacement_test_ids","canonical_replacement_historical_test_ids","canonical_replacement_semantic_ids","current_source_files","current_contract_ids","equal_or_stronger_coverage","consolidation_justification","retirement_evidence","remaining_limitation"
"p34-24cd0d9eeac10bd81962","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 1920x1080 interrupted-scene is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-24cd0d9eeac10bd81962","","sl-semantic-7d38206c1e7b54688b85","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-11ee085cd4b8f566e371","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 1440x900 journal-first-opening is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-11ee085cd4b8f566e371","","sl-semantic-8bf223c567546320cdc2","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-a5277b5c38a80e1b2dbe","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 1440x900 journal-reentry is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-a5277b5c38a80e1b2dbe","","sl-semantic-6cd8719e7f7a283b448f","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-41427821ccaaf5da7d99","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 1440x900 chapter-release is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-41427821ccaaf5da7d99","","sl-semantic-ead7f981282e70ba65c0","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-769f2d173a9e2ff3660a","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 1440x900 map-location is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-769f2d173a9e2ff3660a","","sl-semantic-b81af3dd6b14d24972c4","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-c153411c9b3d35a20fe0","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 1440x900 route-reveal is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-c153411c9b3d35a20fe0","","sl-semantic-fb953912c9e626c57c33","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-91f5712a7dd82c079f90","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 1440x900 artifact-award is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.artifacts","sl-test-91f5712a7dd82c079f90","","sl-semantic-a2162cbd20fabff875a0","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.artifacts contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-b2d2bcd2c43b5004c146","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 1440x900 quest-discovery is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-b2d2bcd2c43b5004c146","","sl-semantic-d9b7e6b3dfa35c8d0184","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-ee9c6c9d905c570dbad7","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 1440x900 log-entry is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-ee9c6c9d905c570dbad7","","sl-semantic-4e11e29b23733001246c","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-29da235435a4c5e153ba","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 1440x900 finale-tease is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-29da235435a4c5e153ba","","sl-semantic-878854993212eb0112eb","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-2d4c1900d5685ab815e8","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 1440x900 pause is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-2d4c1900d5685ab815e8","","sl-semantic-9c194da5dbaf12b8cbac","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-0fba3a3971f7acae4c13","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 1440x900 replay is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-0fba3a3971f7acae4c13","","sl-semantic-c816d89b9e3c327fe699","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-1f3bde4fa6b8ff5166d2","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 1440x900 fallback is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-1f3bde4fa6b8ff5166d2","","sl-semantic-41959d8a692b49248587","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-ccffbf2be934cbe54b6b","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 1440x900 interrupted-scene is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-ccffbf2be934cbe54b6b","","sl-semantic-15331ab091998d7a9a82","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-1d57fdba35e17afa65f3","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 430x932 journal-first-opening is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-1d57fdba35e17afa65f3","","sl-semantic-2653a4c111e7e930f8b6","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-a5031247700541b9ac24","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 430x932 journal-reentry is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-a5031247700541b9ac24","","sl-semantic-b0012cbf3d5b86bb6e26","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-4164bc4d39c173a742a7","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 430x932 chapter-release is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-4164bc4d39c173a742a7","","sl-semantic-d38872deb0e65c0f31f1","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-ac240a27b475f1cfd558","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 430x932 map-location is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-ac240a27b475f1cfd558","","sl-semantic-1328872b614382e440ff","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-923d7ccc5c6ca965e17b","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 430x932 route-reveal is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-923d7ccc5c6ca965e17b","","sl-semantic-467d6c352bac087beb33","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-15cfcc6bd6036d8eb5c8","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 430x932 artifact-award is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.artifacts","sl-test-15cfcc6bd6036d8eb5c8","","sl-semantic-3b1d73a86e76a1b60ce8","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.artifacts contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-e4e8d2df64a6110c4786","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 430x932 quest-discovery is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-e4e8d2df64a6110c4786","","sl-semantic-81cada9cfa12266dcb8f","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-891f04f03e3328d2bafc","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 430x932 log-entry is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-891f04f03e3328d2bafc","","sl-semantic-de4ec824bf604fbdd4e3","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-6fb24de36d72f095267f","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 430x932 finale-tease is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-6fb24de36d72f095267f","","sl-semantic-69f903cf6e474e6b851a","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-d4614e87c614fec3db80","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 430x932 pause is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-d4614e87c614fec3db80","","sl-semantic-95bc566a7da2faac78c0","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-aea0d3c818d2e78efd5a","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 430x932 replay is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-aea0d3c818d2e78efd5a","","sl-semantic-9a721a872c44a11826fb","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-3a2112ff6b3485ba9f9a","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 430x932 fallback is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-3a2112ff6b3485ba9f9a","","sl-semantic-d51331568a690d711536","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-128ab0d330c836c515f0","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 430x932 interrupted-scene is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-128ab0d330c836c515f0","","sl-semantic-aa0c37ff4b9f56b483d1","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-018e0119cd4a27cc2b1c","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 390x844 journal-first-opening is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-018e0119cd4a27cc2b1c","","sl-semantic-c46db09bed6f94378bf6","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-caa9e8c7d02dd525d4ea","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 390x844 journal-reentry is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-caa9e8c7d02dd525d4ea","","sl-semantic-a502a6d436a55e3366f9","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-078d0b7445057a1aa23d","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 390x844 chapter-release is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-078d0b7445057a1aa23d","","sl-semantic-ec420661e18b6b98bb93","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-32351e36ae1c9dbefb6b","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 390x844 map-location is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-32351e36ae1c9dbefb6b","","sl-semantic-b80f36426d8b94ece495","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-0201625da13da6e5029e","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 390x844 route-reveal is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-0201625da13da6e5029e","","sl-semantic-1225c200b0e101ea7d5f","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-82b50813d9efd7180f45","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 390x844 artifact-award is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.artifacts","sl-test-82b50813d9efd7180f45","","sl-semantic-a2a5aef237ab7e093eb0","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.artifacts contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-39ed7820791e8ed66f8d","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 390x844 quest-discovery is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-39ed7820791e8ed66f8d","","sl-semantic-0b2b3dc02a81ee7c8120","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-3da8c188a76c9dba3b44","tests/e2e/phase3-accessibility-viewports.spec.ts","512","Project Lanternwake Phase 3 accessibility and six required viewports › 390x844 log-entry is readable, reachable, and sound-independent","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-3da8c188a76c9dba3b44","","sl-semantic-a49b82e70d095cb289c0","tests/e2e/phase3-accessibility-viewports.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
